organismid,abbr,organism,pubmedid,pub_title
1,aci,Acinetobacter baylyi ADP1,18319726,"de Berardinis V, et al (2008). A complete collection of single-gene deletion mutants of Acinetobacter baylyi ADP1. Mol Syst Biol."
2,bsu,Bacillus subtilis 168,12682299,"Kobayashi K, et al (2003). Essential Bacillus subtilis genes. Proc Natl Acad Sci U S A, 100:4678-83"
3,eco,Escherichia coli MG1655,13129938,"Gerdes SY, et al (2003). Experimental determination and system level analysis of essential genes in Escherichia coli MG1655. J Bacteriol, 185:5673-84."
4,ftn,Francisella novicida U112,17215359,"Gallagher LA, et al (2007). A comprehensive transposon mutant library of Francisella novicida, a bioweapon surrogate. Proc Natl Acad Sci U S A, 104:1009-14."
5,hin,Haemophilus influenzae Rd KW20,11805338,"Akerley BJ, et al (2002). A genome-scale analysis for identification of genes required for growth or survival of Haemophilus influenzae. Proc Natl Acad Sci U S A, 99:966-71"
6,hpy,Helicobacter pylori 26695,15547264,"Salama NR, et al (2004). Global transposon mutagenesis and essential gene analysis of Helicobacter pylori. J Bacteriol, 186:7926-35."
7,mge,Mycoplasma genitalium G37,16407165,"Glass JI, et al (2006). Essential genes of a minimal bacterium. Proc Natl Acad Sci U S A, 103:425-30. "
8,mpu,Mycoplasma pulmonis UAB CTIP,18452587,"French CT, et al (2008). Large-scale transposon mutagenesis of Mycoplasma pulmonis. Mol Microbiol."
9,mtu,Mycobacterium tuberculosis H37Rv,12657046,"Sassetti CM, et al (2003). Genes required for mycobacterial growth defined by high density mutagenesis. Mol Microbiol, 48:77-84."
10,pau,Pseudomonas aeruginosa UCBPP-PA14,16477005,"Liberati NT, et al (2006). An ordered, nonredundant library of Pseudomonas aeruginosa strain PA14 transposon insertion mutants. Proc Natl Acad Sci U S A, 103:2833-8."
11,sao,Staphylococcus aureus NCTC 8325,19570206,"Chaudhuri RR, et al (2009). Comprehensive identification of essential Staphylococcus aureus genes using Transposon-Mediated Differential Hybridisation (TMDH). BMC Genomics, 10:291. "
12,spr,Streptococcus pneumoniae,15995353,"Song JH, et al (2005). Identification of Essential Genes in Streptococcus pneumoniae by Allelic Replacement Mutagenesis. Mol Cells, 19:365-74."
13,spu,Staphylococcus aureus N315,11952893,"Forsyth RA, et al (2002). A genome-wide strategy for the identification of essential genes in Staphylococcus aureus. Mol Microbiol, 43:1387-400.  "
14,stm,Salmonella typhimurium LT2,15009898,"Knuth K, et al (2004). Large-scale identification of essential Salmonella genes by trapping lethal insertions. Mol Microbiol, 51:1729-44."
15,stt,Salmonella enterica serovar Typhi,19826075,"Langridge GC, et al (2009). Simultaneous assay of every Salmonella Typhi gene using one million transposon mutants. Genome Res, 19:2308-16"
16,vch,Vibrio cholerae N16961,18574146,"Cameron DE, Urbach MJ,Mekalanos JJ(2008). A defined transposon mutant library and its use in identifying motility genes in Vibrio cholerae. PNAS, 105(25):8736-8741."
